x full LOBE OBE HSA
2t\\_2i 50.0 0.0 0.0 50.0
2t\\_3i 40.476190476190474 0.0 11.904761904761903 47.61904761904761
2t\\_4i 70.9090909090909 5.454545454545454 1.8181818181818181 21.818181818181817
3t\\_3i 66.66666666666666 9.523809523809524 0.0 23.809523809523807
3t\\_4i 70.58823529411765 11.76470588235294 0.0 17.647058823529413
total 62.22910216718266 6.191950464396285 3.7151702786377707 27.86377708978328
