x Weak Strong Full LOBE OBE HSA
All 66.87370600414079 33.126293995859214 0.0 0.0 0.0 0.0 0.0
Weak 0.0 0.0 62.22910216718266 6.191950464396285 3.7151702786377707 27.86377708978328
Strong 0.0 0.0 31.25 10.0 0.0 58.75
