x weak strong
2t\\\_2i 75.0 25.0 
2t\\\_3i 47.72727272727273 52.27272727272727
2t\\\_4i 63.58381502890174 36.41618497109826
3t\\\_3i 100.0 0.0
3t\\\_4i 97.14285714285714 2.857142857142857
total 66.87370600414079 33.126293995859214
